,School name,Department,GRE requirements,Minimum Quantitative score (percentile),Minimum Verbal score (percentile),Minimum Analytical writing score (percentile),GRE Physics requirements,Minimum GRE Physics score (percentile)
76,New Mexico State University,Physics,"yes, required *",,,,"yes, required *",
77,Carnegie Mellon University,Physics,"yes, required",,,,"yes, required",
78,"University of Massachusetts, Lowell",Physics & Applied Physics,"yes, required *",,,,"yes, required *",
79,"University of Wisconsin, Madison",Physics,"yes, required",,,,"yes, required",
80,Oakland University,Physics,"yes, required",,,,"yes, recommended",
81,Appalachian State University,Physics and Astronomy,"yes, required *",,,,no *,
82,Duke University,Physics,"yes, required *",,,,"yes, required *",
83,Creighton University,Physics,"yes, required *",,,,no,
84,Boston University,Physics,"yes, required",,,,"yes, required",( 60% )
85,Florida State University,Physics,"yes, required *",,,,no,
86,University of Kentucky,Physics & Astronomy,"yes, required *",,,,"yes, recommended *",
87,University of Rochester,Physics & Astronomy,"yes, required *",,,,"yes, required *",
88,"University of Maryland, College Park",Astronomy,"yes, required *",,,,"yes, recommended *",
89,"University of Alabama, Tuscaloosa",Physics & Astronomy,"yes, required *",,,,no,
90,New Mexico Institute of Mining and Technology,Physics,"yes, required",,,,no,
91,DePaul University,Physics,"yes, required *",,,,no,
92,Indiana University - Purdue University Indianapolis,Physics,"yes, required",,,,"yes, recommended",
93,West Virginia University,Physics,"yes, required *",,,,no,
